numero_premio,premio,pm,pdi
1,MOTO ITALIKA,0,0
2,TABURETE CON ALMACENAMIENTO,0,0
3,ORGANIZADOR DE COCINA,0,0
4,SOFA CAMA,0,0
5,VAJILLA DE 16 P MORADA,0,0
6,TELEVISOR JVC 86",0,0
7,TELEVISOR JVC 70",0,0
8,JUEGO DE 6 TAZAS COLORES,0,0
9,JUEGO DE 6 TAZAS COLORES,0,0
10,HIELERA IGLOO,0,0
11,HIELERA IGLOO,0,0
12,RACK PARA COCINA MEMBER´S MARK,0,0
13,VAJILLA DE 16 P NEGRA,0,0
14,ESTANTE DE ALMACENAMIENTO DE 4 REPISAS,0,0
15,ASADOR,0,0
16,ESTANTE DE TRES NIVELES HOME STYLE DESIGN,0,0
17,CARRO MULTIUSOS 10 CAJONES MEMBER´S MARCK,0,0
18,ESCRITORIO COLOR NEGRO,0,0
19,BOCINA VIOS,0,0
20,TELEVISOR LG 32",0,0
21,TELEVISOR LG 32",0,0
22,TELEVISOR LG 32",0,0
23,TEATRO EN CASA,0,0
24,TEATRO EN CASA,0,0
25,TEATRO EN CASA,0,0
26,TEATRO EN CASA,0,0
27,MESA DE CENTRO SALA HOMETRENDS,0,0
28,MESA DE CENTRO SALA HOMETRENDS,0,0
29,CONTENEDORES HERMETICOS,0,0
30,BOCINA VIOS PORTATIL  2X5",0,0
31,BOCINA 2X6.5",0,0
32,BOCINA 2X6.5",0,0
33,BICICLETA NEXT,0,0
34,BICICLETA SPITFIT,0,0
35,MESA DE CENTRO BLANCA MAINSTAYS,0,0
36,ALEXA,0,0
37,ALEXA,0,0
38,ALEXA,0,0
39,ALEXA,0,0
40,ALEXA,0,0
41,CAMARA DE SEGURIDAD,0,0
42,CAMARA DE SEGURIDAD,0,0
43,CAMARA DE SEGURIDAD,0,0
44,TELEVISOR PHILIPS 40",0,0
45,TELEVISOR PHILIPS 40",0,0
46,TELEVISOR PHILIPS 40",0,0
47,TELEVISOR PHILIPS 40",0,0
48,TELEVISOR PHILIPS 40",0,0
49,TELEVISOR PHILIPS 40",0,0
50,TELEVISOR PHILIPS 40",0,0
51,TELEVISOR PHILIPS 40",0,0
52,TELEVISOR PHILIPS 40",0,0
53,TELEVISOR PHILIPS 40",0,0
54,TELEVISOR PHILIPS 40",0,0
55,TELEVISOR PHILIPS 40",0,0
56,TELEVISOR PHILIPS 40",0,0
57,TELEVISOR PHILIPS 40",0,0
58,TELEVISOR PHILIPS 40",0,0
59,TABLETA,0,0
60,TABLETA,0,0
61,TABLETA,0,0
62,TABLETA,0,0
63,TABLETA,0,0
64,IMPRESORAS,0,0
65,IMPRESORAS,0,0
66,IMPRESORAS,0,0
67,IMPRESORAS,0,0
68,TELEVISION DE 43",0,0
69,TELEVISION DE 43",0,0
70,TELEVISION DE 32",0,0
71,PANTALLA 40" HISENSE,0,0
72,PANTALLA 40" HISENSE,0,0
73,BATIDORA T FAL,0,0
74,PANTALLA 40" HISENSE,0,0
75,PANTALLA 40" HISENSE,0,0
76,BATIDORA T FAL,0,0
77,JARRA HERVIDORA DE AGUA,0,0
78,SANDWICHERA PARA PANINIS HAMILTON BEACH,0,0
79,AUDIFONOS,0,0
80,AUDIFONOS,0,0
81,LICUADORA,0,0
82,JARRA HERVIDORA DE AGUA,0,0
83,JARRA HERVIDORA DE AGUA,0,0
84,TELEVISOR DE 50" ATVIO,0,0
85,SANDWICHERA PARA PANINIS HAMILTON BEACH,0,0
86,BATIDOTRA HAMILTON BEACH,0,0
87,LICUADORA T FAL,0,0
88,BARRA DE SONIDO SONY,0,0
89,CAFETERA BLACK DECKER,0,0
90,BOCINA CLIP 4 MAX,0,0
91,AUDIFONOS SONY,0,0
92,BOCINA VIOS 17",0,0
93,BOCINA CLIP 4 MAX,0,0
94,AUDIFONOS SONY,0,0
95,BOCINA VIOS 17",0,0
96,FREIDORA DE AIRE,0,0
97,CAFETERA BLACK DECJKER,0,0
98,TABLETA GALAXY A9,0,0
99,TABLETA LENOVO,0,0
100,PANTALLA DE 40" ATVIO ROKU,0,0
101,PANTALLA DE 40" ATVIO ROKU,0,0
102,EXTRACTOR DE JUGOS T-FAL,0,0
103,LICUADORA OSTER,0,0
104,FREIDORA OSTER,0,0
105,FREIDORA OSTER,0,0
106,HORNO TOSTADOR HAMITON BEACH,0,0
107,HORNO TOSTADOR OSTER,0,0
108,PANTALLA 40" SANSUI,0,0
109,FREIDORA HAMILTON BEACH,0,0
110,BOCINA PORTABLE XINMI,0,0
111,HUMIFICADOR 1S10,0,0
112,BOCINA HOME TU SMALL BULLY FM-8226,0,0
113,PLANCHA PARA CABELLO SOKANY,0,0
114,CEPILLO DE AIRE ANE STEP,0,0
